dataset,scenario,backbone,finetune,FAR_%,FRR_%,AER_%,EER_%,AUC
bhsig,wd,resnet50,none,15.40,32.54,23.97,24.50,0.8310
bhsig,wd,densenet121,none,15.46,26.13,20.80,21.29,0.8722
bhsig,wd,efficientnet_b0,none,16.09,35.83,25.96,25.22,0.8196
bhsig,wd,vgg19,last_block,1.19,3.45,2.32,2.28,0.9978
bhsig,wd,vgg19,none,2.95,5.75,4.35,4.45,0.9918
bhsig,wi,resnet50,none,13.72,25.96,19.84,19.37,0.8797
bhsig,wi,densenet121,none,15.96,20.91,18.44,18.77,0.8923
bhsig,wi,efficientnet_b0,none,9.74,35.02,22.38,22.04,0.8678
bhsig,wi,vgg19,last_block,15.58,16.19,15.88,15.95,0.9009
bhsig,wi,vgg19,none,15.45,20.59,18.02,17.80,0.8847
cedar,wd,resnet50,none,8.99,1.92,5.45,2.47,0.9909
cedar,wd,densenet121,none,4.12,3.45,3.78,4.17,0.9964
cedar,wd,efficientnet_b0,none,3.37,2.68,3.03,2.46,0.9940
cedar,wd,vgg19,last_block,1.87,0.00,0.94,0.76,0.9996
cedar,wd,vgg19,none,3.75,0.77,2.26,2.46,0.9963
cedar,wi,resnet50,none,18.56,8.33,13.45,12.50,0.9375
cedar,wi,densenet121,none,21.97,2.27,12.12,6.63,0.9853
cedar,wi,efficientnet_b0,none,12.88,3.79,8.33,7.95,0.9808
cedar,wi,vgg19,last_block,8.33,11.36,9.85,8.90,0.9665
cedar,wi,vgg19,none,4.17,12.88,8.52,8.90,0.9760
utsig,wd,resnet50,none,18.40,32.73,25.56,26.48,0.8272
utsig,wd,densenet121,none,20.45,35.29,27.87,28.17,0.7974
utsig,wd,efficientnet_b0,none,21.32,32.28,26.80,26.97,0.8121
utsig,wd,vgg19,last_block,7.25,7.39,7.32,7.43,0.9733
utsig,wd,vgg19,none,4.76,15.84,10.30,10.27,0.9614
utsig,wi,resnet50,none,19.88,38.65,29.26,28.35,0.7938
utsig,wi,densenet121,none,15.84,43.16,29.50,30.30,0.7883
utsig,wi,efficientnet_b0,none,24.74,38.00,31.37,31.15,0.7489
utsig,wi,vgg19,last_block,13.25,59.42,36.34,35.10,0.7184
utsig,wi,vgg19,none,12.32,66.99,39.65,37.73,0.6900
